regime,transaction,kind,component,gas,receipt_success,evidence
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,other_state,258366,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,parse_canonicality,1085785,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,payout_calls,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,public_statement,792581,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,row_reductions,2494730,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,transcript_challenges,1674895,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,standard_intrinsic,1749728,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,code_deposit,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,reconciliation_residual,-2800,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,total_not_additive,receipt_gas,16761123,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
